72185.714321939 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.724321175 MEMLOG_E_WCET_START           diff = 0.009999236
72185.724322165 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.734320828 MEMLOG_E_WCET_START           diff = 0.009998663
72185.734321818 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.744320949 MEMLOG_E_WCET_START           diff = 0.009999131
72185.744321991 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.754321852 MEMLOG_E_WCET_START           diff = 0.009999861
72185.754322842 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.764321869 MEMLOG_E_WCET_START           diff = 0.009999027
72185.764322807 MEMLOG_E_S1_DONE              diff = 0.000000938
72185.774320637 MEMLOG_E_WCET_START           diff = 0.009997830
72185.774321678 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.784321071 MEMLOG_E_WCET_START           diff = 0.009999393
72185.784322060 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.794320932 MEMLOG_E_WCET_START           diff = 0.009998872
72185.794321973 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.804320637 MEMLOG_E_WCET_START           diff = 0.009998664
72185.804321626 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.814321487 MEMLOG_E_WCET_START           diff = 0.009999861
72185.814322477 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.824320827 MEMLOG_E_WCET_START           diff = 0.009998350
72185.824321869 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.834321209 MEMLOG_E_WCET_START           diff = 0.009999340
72185.834322199 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.844320862 MEMLOG_E_WCET_START           diff = 0.009998663
72185.844321904 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.854323067 MEMLOG_E_WCET_START           diff = 0.010001163
72185.854324056 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.864320845 MEMLOG_E_WCET_START           diff = 0.009996789
72185.864321834 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.874321331 MEMLOG_E_WCET_START           diff = 0.009999497
72185.874322320 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.884320983 MEMLOG_E_WCET_START           diff = 0.009998663
72185.884321921 MEMLOG_E_S1_DONE              diff = 0.000000938
72185.894321105 MEMLOG_E_WCET_START           diff = 0.009999184
72185.894322146 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.904321174 MEMLOG_E_WCET_START           diff = 0.009999028
72185.904322216 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.914321035 MEMLOG_E_WCET_START           diff = 0.009998819
72185.914322077 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.924321365 MEMLOG_E_WCET_START           diff = 0.009999288
72185.924322355 MEMLOG_E_S1_DONE              diff = 0.000000990
