85010.351488233 MEMLOG_E_S1_DONE              diff = 0.000022031
85010.351488494 MEMLOG_E_S1_RUN               diff = 0.000000261
85010.378821687 MEMLOG_E_WCET_START           diff = 0.027333193
85010.387087983 MEMLOG_E_ADATA                diff = 0.008266296 data:0
85010.387114389 MEMLOG_E_S1_DONE              diff = 0.000026406
85010.387114650 MEMLOG_E_S1_RUN               diff = 0.000000261
85010.410993700 MEMLOG_E_WCET_START           diff = 0.023879050
85010.419230934 MEMLOG_E_ADATA                diff = 0.008237234 data:0
85010.419254111 MEMLOG_E_S1_DONE              diff = 0.000023177
85010.419254424 MEMLOG_E_S1_RUN               diff = 0.000000313
85010.443165297 MEMLOG_E_WCET_START           diff = 0.023910873
85010.451492791 MEMLOG_E_ADATA                diff = 0.008327494 data:0
85010.451516488 MEMLOG_E_S1_DONE              diff = 0.000023697
85010.451516749 MEMLOG_E_S1_RUN               diff = 0.000000261
85010.478812755 MEMLOG_E_WCET_START           diff = 0.027296006
85010.487104520 MEMLOG_E_ADATA                diff = 0.008291765 data:103
85010.487127957 MEMLOG_E_S1_DONE              diff = 0.000023437
85010.487128217 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.511001956 MEMLOG_E_WCET_START           diff = 0.023873739
85010.519232992 MEMLOG_E_ADATA                diff = 0.008231036 data:323
85010.519258148 MEMLOG_E_S1_DONE              diff = 0.000025156
85010.519258460 MEMLOG_E_S1_RUN               diff = 0.000000312
85010.543140948 MEMLOG_E_WCET_START           diff = 0.023882488
85010.551428546 MEMLOG_E_ADATA                diff = 0.008287598 data:0
85010.551452921 MEMLOG_E_S1_DONE              diff = 0.000024375
85010.551453234 MEMLOG_E_S1_RUN               diff = 0.000000313
85010.578810854 MEMLOG_E_WCET_START           diff = 0.027357620
85010.587090639 MEMLOG_E_ADATA                diff = 0.008279785 data:0
85010.587115275 MEMLOG_E_S1_DONE              diff = 0.000024636
85010.587115535 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.611025575 MEMLOG_E_WCET_START           diff = 0.023910040
85010.619284840 MEMLOG_E_ADATA                diff = 0.008259265 data:0
85010.619307705 MEMLOG_E_S1_DONE              diff = 0.000022865
85010.619308173 MEMLOG_E_S1_RUN               diff = 0.000000468
85010.643156495 MEMLOG_E_WCET_START           diff = 0.023848322
85010.651452218 MEMLOG_E_ADATA                diff = 0.008295723 data:0
85010.651476333 MEMLOG_E_S1_DONE              diff = 0.000024115
85010.651476593 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.678825567 MEMLOG_E_WCET_START           diff = 0.027348974
85010.687118842 MEMLOG_E_ADATA                diff = 0.008293275 data:0
85010.687142801 MEMLOG_E_S1_DONE              diff = 0.000023959
85010.687143061 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.710990289 MEMLOG_E_WCET_START           diff = 0.023847228
85010.719207211 MEMLOG_E_ADATA                diff = 0.008216922 data:0
85010.719227263 MEMLOG_E_S1_DONE              diff = 0.000020052
85010.719227471 MEMLOG_E_S1_RUN               diff = 0.000000208
85010.743174803 MEMLOG_E_WCET_START           diff = 0.023947332
85010.751470473 MEMLOG_E_ADATA                diff = 0.008295670 data:0
85010.751493234 MEMLOG_E_S1_DONE              diff = 0.000022761
85010.751493546 MEMLOG_E_S1_RUN               diff = 0.000000312
85010.778798198 MEMLOG_E_WCET_START           diff = 0.027304652
85010.787070223 MEMLOG_E_ADATA                diff = 0.008272025 data:0
85010.787093921 MEMLOG_E_S1_DONE              diff = 0.000023698
85010.787094233 MEMLOG_E_S1_RUN               diff = 0.000000312
85010.810990940 MEMLOG_E_WCET_START           diff = 0.023896707
85010.819228955 MEMLOG_E_ADATA                diff = 0.008238015 data:0
85010.819247549 MEMLOG_E_S1_DONE              diff = 0.000018594
85010.819247757 MEMLOG_E_S1_RUN               diff = 0.000000208
85010.843183526 MEMLOG_E_WCET_START           diff = 0.023935769
85010.851465812 MEMLOG_E_ADATA                diff = 0.008282286 data:0
85010.851487114 MEMLOG_E_S1_DONE              diff = 0.000021302
85010.851487374 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.878804630 MEMLOG_E_WCET_START           diff = 0.027317256
85010.887062489 MEMLOG_E_ADATA                diff = 0.008257859 data:0
85010.887085978 MEMLOG_E_S1_DONE              diff = 0.000023489
85010.887086239 MEMLOG_E_S1_RUN               diff = 0.000000261
85010.910981435 MEMLOG_E_WCET_START           diff = 0.023895196
85010.919216690 MEMLOG_E_ADATA                diff = 0.008235255 data:0
85010.919237627 MEMLOG_E_S1_DONE              diff = 0.000020937
85010.919237731 MEMLOG_E_S1_RUN               diff = 0.000000104
85010.943199698 MEMLOG_E_WCET_START           diff = 0.023961967
85010.951495786 MEMLOG_E_ADATA                diff = 0.008296088 data:0
85010.951519275 MEMLOG_E_S1_DONE              diff = 0.000023489
85010.951519536 MEMLOG_E_S1_RUN               diff = 0.000000261
85010.978784865 MEMLOG_E_WCET_START           diff = 0.027265329
85010.987070848 MEMLOG_E_ADATA                diff = 0.008285983 data:0
85010.987094702 MEMLOG_E_S1_DONE              diff = 0.000023854
85010.987094858 MEMLOG_E_S1_RUN               diff = 0.000000156
85011.011066825 MEMLOG_E_WCET_START           diff = 0.023971967
85011.030221534 MEMLOG_E_ADATA                diff = 0.019154709 data:0
85011.030254034 MEMLOG_E_S1_DONE              diff = 0.000032500
85011.030254555 MEMLOG_E_S1_RUN               diff = 0.000000521
85011.043328630 MEMLOG_E_WCET_START           diff = 0.013074075
85011.062466360 MEMLOG_E_ADATA                diff = 0.019137730 data:0
85011.062495005 MEMLOG_E_S1_DONE              diff = 0.000028645
85011.062495526 MEMLOG_E_S1_RUN               diff = 0.000000521
85011.078845307 MEMLOG_E_WCET_START           diff = 0.016349781
85011.098068714 MEMLOG_E_ADATA                diff = 0.019223407 data:0
85011.098100693 MEMLOG_E_S1_DONE              diff = 0.000031979
85011.098101213 MEMLOG_E_S1_RUN               diff = 0.000000520
85011.111084508 MEMLOG_E_WCET_START           diff = 0.012983295
85011.130227602 MEMLOG_E_ADATA                diff = 0.019143094 data:0
85011.130259998 MEMLOG_E_S1_DONE              diff = 0.000032396
85011.130260519 MEMLOG_E_S1_RUN               diff = 0.000000521
85011.143300687 MEMLOG_E_WCET_START           diff = 0.013040168
85011.162415501 MEMLOG_E_ADATA                diff = 0.019114814 data:0
85011.162444459 MEMLOG_E_S1_DONE              diff = 0.000028958
85011.162445136 MEMLOG_E_S1_RUN               diff = 0.000000677
85011.178822104 MEMLOG_E_WCET_START           diff = 0.016376968
85011.194589441 MEMLOG_E_ADATA                diff = 0.015767337 data:0
85011.194612462 MEMLOG_E_S1_DONE              diff = 0.000023021
85011.194612670 MEMLOG_E_S1_RUN               diff = 0.000000208
85011.210948493 MEMLOG_E_WCET_START           diff = 0.016335823
85011.219200935 MEMLOG_E_ADATA                diff = 0.008252442 data:0
85011.219222289 MEMLOG_E_S1_DONE              diff = 0.000021354
85011.219222706 MEMLOG_E_S1_RUN               diff = 0.000000417
85011.243160819 MEMLOG_E_WCET_START           diff = 0.023938113
85011.251456750 MEMLOG_E_ADATA                diff = 0.008295931 data:0
85011.251478937 MEMLOG_E_S1_DONE              diff = 0.000022187
85011.251479198 MEMLOG_E_S1_RUN               diff = 0.000000261
85011.278765777 MEMLOG_E_WCET_START           diff = 0.027286579
85011.287039677 MEMLOG_E_ADATA                diff = 0.008273900 data:0
85011.287069156 MEMLOG_E_S1_DONE              diff = 0.000029479
85011.287069416 MEMLOG_E_S1_RUN               diff = 0.000000260
85011.310960446 MEMLOG_E_WCET_START           diff = 0.023891030
85011.319199815 MEMLOG_E_ADATA                diff = 0.008239369 data:0
85011.319222419 MEMLOG_E_S1_DONE              diff = 0.000022604
85011.319222732 MEMLOG_E_S1_RUN               diff = 0.000000313
85011.343154491 MEMLOG_E_WCET_START           diff = 0.023931759
85011.351454797 MEMLOG_E_ADATA                diff = 0.008300306 data:0
85011.351476516 MEMLOG_E_S1_DONE              diff = 0.000021719
85011.351476828 MEMLOG_E_S1_RUN               diff = 0.000000312
85011.378778146 MEMLOG_E_WCET_START           diff = 0.027301318
85011.387051838 MEMLOG_E_ADATA                diff = 0.008273692 data:0
85011.387075588 MEMLOG_E_S1_DONE              diff = 0.000023750
85011.387075849 MEMLOG_E_S1_RUN               diff = 0.000000261
85011.410972503 MEMLOG_E_WCET_START           diff = 0.023896654
85011.419206612 MEMLOG_E_ADATA                diff = 0.008234109 data:0
85011.419226768 MEMLOG_E_S1_DONE              diff = 0.000020156
85011.419226925 MEMLOG_E_S1_RUN               diff = 0.000000157
85011.443118788 MEMLOG_E_WCET_START           diff = 0.023891863
85011.451400813 MEMLOG_E_ADATA                diff = 0.008282025 data:0
85011.451425240 MEMLOG_E_S1_DONE              diff = 0.000024427
85011.451425500 MEMLOG_E_S1_RUN               diff = 0.000000260
85011.478774162 MEMLOG_E_WCET_START           diff = 0.027348662
85011.487064104 MEMLOG_E_ADATA                diff = 0.008289942 data:116
85011.487089000 MEMLOG_E_S1_DONE              diff = 0.000024896
85011.487089260 MEMLOG_E_S1_RUN               diff = 0.000000260
85011.510928936 MEMLOG_E_WCET_START           diff = 0.023839676
85011.519155389 MEMLOG_E_ADATA                diff = 0.008226453 data:326
85011.519178305 MEMLOG_E_S1_DONE              diff = 0.000022916
85011.519178462 MEMLOG_E_S1_RUN               diff = 0.000000157
85011.543174907 MEMLOG_E_WCET_START           diff = 0.023996445
85011.551462662 MEMLOG_E_ADATA                diff = 0.008287755 data:0
85011.551485109 MEMLOG_E_S1_DONE              diff = 0.000022447
85011.551485370 MEMLOG_E_S1_RUN               diff = 0.000000261
85011.578730699 MEMLOG_E_WCET_START           diff = 0.027245329
85011.587018974 MEMLOG_E_ADATA                diff = 0.008288275 data:0
85011.587048036 MEMLOG_E_S1_DONE              diff = 0.000029062
85011.587048245 MEMLOG_E_S1_RUN               diff = 0.000000209
85011.610967191 MEMLOG_E_WCET_START           diff = 0.023918946
85011.619206665 MEMLOG_E_ADATA                diff = 0.008239474 data:0
85011.619227394 MEMLOG_E_S1_DONE              diff = 0.000020729
85011.619227706 MEMLOG_E_S1_RUN               diff = 0.000000312
85011.643116080 MEMLOG_E_WCET_START           diff = 0.023888374
85011.651394720 MEMLOG_E_ADATA                diff = 0.008278640 data:0
85011.651420032 MEMLOG_E_S1_DONE              diff = 0.000025312
85011.651420448 MEMLOG_E_S1_RUN               diff = 0.000000416
85011.678754996 MEMLOG_E_WCET_START           diff = 0.027334548
85011.687022907 MEMLOG_E_ADATA                diff = 0.008267911 data:0
85011.687053167 MEMLOG_E_S1_DONE              diff = 0.000030260
85011.687053427 MEMLOG_E_S1_RUN               diff = 0.000000260
85011.710939197 MEMLOG_E_WCET_START           diff = 0.023885770
